epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.401,0.83706,1.61462,1.17691,0.68694,0.21955,0.19836,0.13955,1.29451,3.27812,1.18427,0.00058,0.00058,0.00058
2,335.979,0.82655,1.05758,1.127,0.99105,0.23333,0.26222,0.19003,1.37023,2.74956,1.26883,0.00116832,0.00116832,0.00116832
3,493.567,0.84033,0.96273,1.15858,0.62945,0.38333,0.45638,0.30942,1.43382,2.10214,1.46513,0.00174476,0.00174476,0.00174476
4,646.991,0.82115,0.85419,1.12032,0.38458,0.4,0.35561,0.23297,1.41717,2.42294,1.36703,0.0019406,0.0019406,0.0019406
5,804.311,0.7905,0.77778,1.11003,0.54767,0.48432,0.55074,0.3052,1.42639,1.9941,1.3109,0.0019208,0.0019208,0.0019208
6,958.36,0.76692,0.70036,1.09048,0.42783,0.5,0.40186,0.24271,1.35673,2.29633,1.28567,0.001901,0.001901,0.001901
7,1113.96,0.77195,0.65686,1.09992,0.46917,0.56667,0.47456,0.25344,1.52871,2.28614,1.36797,0.0018812,0.0018812,0.0018812
8,1267.48,0.8024,0.65371,1.0889,0.78916,0.73333,0.81777,0.51964,1.28818,1.17929,1.21423,0.0018614,0.0018614,0.0018614
9,1420.28,0.75577,0.5963,1.08222,0.56958,0.78333,0.66812,0.4603,1.17421,1.32798,1.12717,0.0018416,0.0018416,0.0018416
10,1573.39,0.71689,0.55395,1.06483,0.78803,0.80553,0.8659,0.52479,1.2611,1.1148,1.1696,0.0018218,0.0018218,0.0018218
11,1729.43,0.76096,0.57726,1.07355,0.72933,0.85332,0.82646,0.53608,1.15838,1.03196,1.11119,0.001802,0.001802,0.001802
12,1884.12,0.73437,0.53836,1.07377,0.75778,0.85,0.85637,0.56146,1.21829,0.94205,1.12783,0.0017822,0.0017822,0.0017822
13,2041.53,0.68727,0.50115,1.05185,0.83803,0.81667,0.86113,0.55693,1.18944,0.8995,1.12956,0.0017624,0.0017624,0.0017624
14,2195.77,0.70026,0.51565,1.06878,0.77505,0.80399,0.83177,0.52702,1.16247,1.04103,1.1078,0.0017426,0.0017426,0.0017426
15,2364.73,0.68035,0.50963,1.04257,0.83804,0.8,0.86546,0.60391,1.04811,0.83641,1.04109,0.0017228,0.0017228,0.0017228
16,2534.41,0.6753,0.48841,1.04032,0.80453,0.75,0.80555,0.55858,1.08246,0.98399,1.04749,0.001703,0.001703,0.001703
17,2704.24,0.65105,0.47112,1.02747,0.51429,0.65,0.64709,0.46338,1.04584,1.49055,1.03591,0.0016832,0.0016832,0.0016832
18,2874.59,0.66293,0.4536,1.03244,0.86559,0.85871,0.89483,0.60689,1.09676,0.83194,1.04915,0.0016634,0.0016634,0.0016634
19,3045.01,0.62539,0.44748,1.0235,0.82802,0.88271,0.9022,0.62607,1.02623,0.76762,1.04799,0.0016436,0.0016436,0.0016436
20,3215.62,0.65859,0.46604,1.03765,0.70984,0.83333,0.82423,0.58388,1.03811,0.92003,1.04133,0.0016238,0.0016238,0.0016238
21,3388.49,0.62511,0.44768,1.01368,0.77069,0.83333,0.87711,0.62017,1.06044,0.76236,1.03125,0.001604,0.001604,0.001604
22,3561.51,0.6272,0.42349,1.02394,0.76347,0.85,0.86393,0.50602,1.24578,0.92049,1.10756,0.0015842,0.0015842,0.0015842
23,3737.57,0.62856,0.42387,1.02097,0.82633,0.9,0.91045,0.63841,1.07336,0.74776,1.06,0.0015644,0.0015644,0.0015644
24,3909.99,0.62279,0.40614,1.01833,0.82683,0.87543,0.89903,0.64932,0.98583,0.77774,1.00148,0.0015446,0.0015446,0.0015446
25,4081.28,0.64773,0.42795,1.02979,0.81696,0.86667,0.89912,0.65546,1.05448,0.72931,1.04619,0.0015248,0.0015248,0.0015248
26,4254.5,0.61546,0.41281,1.01003,0.61001,0.81667,0.78798,0.56405,0.97572,1.16656,0.99213,0.001505,0.001505,0.001505
27,4425.77,0.61353,0.41135,1.01763,0.84818,0.86667,0.914,0.68086,0.95226,0.66752,1.00964,0.0014852,0.0014852,0.0014852
28,4597.95,0.61498,0.40239,0.99832,0.90523,0.79604,0.92664,0.65371,1.04042,0.70145,1.01949,0.0014654,0.0014654,0.0014654
29,4772.93,0.64828,0.44122,1.00983,0.81451,0.8783,0.90822,0.64003,1.04056,0.75541,1.01943,0.0014456,0.0014456,0.0014456
30,4945.27,0.62636,0.40666,1.01106,0.77746,0.87348,0.90321,0.62922,1.03523,0.75636,1.02189,0.0014258,0.0014258,0.0014258
31,5116.11,0.59718,0.39204,0.99412,0.84076,0.91667,0.91224,0.6538,0.99403,0.76018,0.9956,0.001406,0.001406,0.001406
32,5288.83,0.61578,0.40671,1.00727,0.87842,0.84297,0.93125,0.68093,0.88777,0.64642,0.95585,0.0013862,0.0013862,0.0013862
33,5459.37,0.58503,0.39463,1.00559,0.89454,0.84823,0.89053,0.65347,0.9763,0.7913,1.00937,0.0013664,0.0013664,0.0013664
34,5635.51,0.59578,0.39457,1.00764,0.83895,0.86667,0.91575,0.63772,1.00501,0.78065,1.0091,0.0013466,0.0013466,0.0013466
35,5807.42,0.57876,0.38001,0.99149,0.8257,0.9,0.90144,0.65832,1.01781,0.72228,1.00531,0.0013268,0.0013268,0.0013268
36,5977.96,0.56198,0.36821,0.98413,0.83809,0.69027,0.84146,0.62299,1.01942,0.876,1.00746,0.001307,0.001307,0.001307
37,6148.1,0.58896,0.37416,0.99214,0.8333,0.83311,0.8721,0.61786,1.03321,0.87055,1.02669,0.0012872,0.0012872,0.0012872
38,6316.25,0.58064,0.36628,0.99625,0.77496,0.86667,0.88397,0.63815,1.02086,0.77971,1.01716,0.0012674,0.0012674,0.0012674
39,6487.56,0.56055,0.35555,0.98923,0.76275,0.85741,0.88922,0.65101,1.02161,0.82341,1.02641,0.0012476,0.0012476,0.0012476
40,6656.42,0.57931,0.36269,0.98512,0.78887,0.95,0.92762,0.67962,0.94135,0.62527,0.97514,0.0012278,0.0012278,0.0012278
41,6826.8,0.56667,0.35513,1.00378,0.81147,0.9,0.93413,0.70345,0.89768,0.63291,0.97301,0.001208,0.001208,0.001208
42,6995.94,0.56507,0.36701,0.98588,0.79707,0.9165,0.90772,0.65739,0.99538,0.77572,1.00913,0.0011882,0.0011882,0.0011882
43,7167.54,0.58361,0.36541,0.98096,0.76026,0.95136,0.91006,0.67813,0.90244,0.65557,0.97973,0.0011684,0.0011684,0.0011684
44,7337.6,0.53747,0.34657,0.97429,0.83212,0.90878,0.92905,0.67474,0.96651,0.69315,1.00695,0.0011486,0.0011486,0.0011486
45,7510.12,0.54506,0.34336,0.97752,0.85477,0.88284,0.92147,0.68061,0.96886,0.63777,0.98101,0.0011288,0.0011288,0.0011288
46,7679.86,0.55806,0.34753,0.98098,0.85325,0.87223,0.92325,0.70688,0.94296,0.62713,0.98542,0.001109,0.001109,0.001109
47,7850.74,0.53967,0.34019,0.98118,0.88862,0.79788,0.91749,0.67038,1.00156,0.67338,1.00073,0.0010892,0.0010892,0.0010892
48,8020.68,0.55101,0.33316,0.97347,0.74508,0.9,0.88634,0.66447,0.93759,0.73841,0.97237,0.0010694,0.0010694,0.0010694
49,8191.03,0.52424,0.33341,0.95956,0.77281,0.96667,0.93341,0.67799,0.97748,0.6453,0.99217,0.0010496,0.0010496,0.0010496
50,8363.14,0.52755,0.3312,0.97449,0.78475,0.88333,0.91906,0.69079,0.93745,0.63262,0.98012,0.0010298,0.0010298,0.0010298
51,8533.45,0.53086,0.33254,0.97557,0.808,0.9,0.92624,0.69515,0.94133,0.64362,0.99578,0.00101,0.00101,0.00101
52,8704.55,0.54173,0.33667,0.96426,0.84051,0.86667,0.91761,0.6717,0.95652,0.60088,0.98453,0.0009902,0.0009902,0.0009902
53,8874.32,0.51336,0.323,0.97045,0.83623,0.83333,0.91222,0.66082,0.96413,0.6495,0.98767,0.0009704,0.0009704,0.0009704
54,9044.65,0.50588,0.31903,0.973,0.83621,0.88333,0.91306,0.64866,1.00121,0.6625,0.9934,0.0009506,0.0009506,0.0009506
55,9216.41,0.51426,0.31456,0.96856,0.84456,0.86667,0.91062,0.69938,0.8721,0.62897,0.97651,0.0009308,0.0009308,0.0009308
56,9386.69,0.53026,0.32242,0.96334,0.8243,0.81667,0.89563,0.66727,0.94719,0.65443,0.99486,0.000911,0.000911,0.000911
57,9555.95,0.50628,0.3107,0.95901,0.8617,0.86667,0.92336,0.67993,0.95073,0.63503,0.9883,0.0008912,0.0008912,0.0008912
58,9725.7,0.5029,0.31921,0.95695,0.8417,0.88621,0.93051,0.71476,0.87193,0.59921,0.957,0.0008714,0.0008714,0.0008714
59,9895.57,0.5167,0.31812,0.97326,0.81423,0.91667,0.93268,0.69073,0.89551,0.60032,0.96484,0.0008516,0.0008516,0.0008516
60,10065.2,0.48934,0.3023,0.94927,0.91027,0.84546,0.93976,0.70691,0.90804,0.62096,0.97255,0.0008318,0.0008318,0.0008318
61,10236.4,0.49719,0.3033,0.95644,0.88085,0.86253,0.93544,0.69469,0.90234,0.59604,0.95884,0.000812,0.000812,0.000812
62,10406,0.49328,0.29688,0.95162,0.85278,0.9,0.93316,0.7037,0.92651,0.59592,0.98004,0.0007922,0.0007922,0.0007922
63,10574.5,0.49037,0.29872,0.958,0.82361,0.93386,0.93782,0.70658,0.91233,0.60599,0.99139,0.0007724,0.0007724,0.0007724
64,10744.8,0.50195,0.31262,0.94472,0.84987,0.86667,0.91352,0.67167,0.95954,0.65027,0.97195,0.0007526,0.0007526,0.0007526
65,10919.4,0.47178,0.28544,0.9389,0.78849,0.96667,0.91546,0.69337,0.92004,0.62212,0.96908,0.0007328,0.0007328,0.0007328
66,11093.3,0.49229,0.29812,0.94893,0.79672,0.93333,0.91864,0.71277,0.88646,0.61498,0.96086,0.000713,0.000713,0.000713
67,11262.9,0.48169,0.29418,0.94557,0.79987,0.96667,0.91927,0.66766,1.01703,0.60619,1.00234,0.0006932,0.0006932,0.0006932
68,11433.5,0.47909,0.28567,0.94218,0.81674,0.96566,0.93695,0.7079,0.94353,0.62095,0.97919,0.0006734,0.0006734,0.0006734
69,11605,0.45366,0.2783,0.939,0.84525,0.88333,0.92714,0.70824,0.92585,0.5985,0.96933,0.0006536,0.0006536,0.0006536
70,11775.4,0.47902,0.29928,0.94267,0.82501,0.88333,0.92636,0.70262,0.92148,0.59247,0.96668,0.0006338,0.0006338,0.0006338
71,11948.9,0.45953,0.27637,0.93507,0.85669,0.89676,0.92815,0.70345,0.94718,0.59372,0.97617,0.000614,0.000614,0.000614
72,12120,0.46717,0.2832,0.94667,0.83292,0.91401,0.9272,0.71301,0.9392,0.60074,0.97371,0.0005942,0.0005942,0.0005942
73,12289.6,0.45635,0.27566,0.94316,0.82049,0.91419,0.92889,0.7062,0.9333,0.59776,0.96238,0.0005744,0.0005744,0.0005744
74,12458.5,0.43861,0.27092,0.93525,0.86803,0.87708,0.93477,0.70507,0.93655,0.58564,0.97167,0.0005546,0.0005546,0.0005546
